index,Burner,Plant,Start,ignition,first_ON,temp_range,temp_begin
0,1,Plant_A,194,0.0,,39.70001220703126,20.100006103515625
1,1,Plant_A,196,0.0,,34.300018310546875,18.39999389648437
2,1,Plant_B,102,0.0,,8.29998779296875,31.600006103515625
3,1,Plant_B,103,0.0,,8.29998779296875,32.20001220703125
4,1,Plant_B,104,0.0,,7.399993896484375,34.0
5,1,Plant_C,362,0.0,,7.20001220703125,28.600006103515625
6,2,Plant_D,20,0.0,,39.30001831054688,36.899993896484375
7,2,Plant_D,21,0.0,,37.20001220703125,37.899993896484375
8,2,Plant_B,102,0.0,,7.699981689453125,31.70001220703125
9,2,Plant_B,103,0.0,,8.29998779296875,32.300018310546875
10,2,Plant_B,104,0.0,,6.899993896484375,33.800018310546875
11,3,Plant_E,16,0.0,,19.399993896484368,37.30001831054688
12,3,Plant_B,65,0.0,,2.399993896484368,60.80001831054688
13,3,Plant_B,66,0.0,,9.400024414062509,50.399993896484375
14,3,Plant_B,102,0.0,,7.8000183105468786,31.89999389648437
15,3,Plant_B,103,0.0,,8.5,32.70001220703125
16,3,Plant_B,104,0.0,,6.800018310546875,34.399993896484375
17,3,Plant_F,93,0.0,,38.39999389648437,37.30001831054688
18,3,Plant_C,223,0.0,,35.00000000000001,18.39999389648437
19,3,Plant_C,258,0.0,,7.300018310546875,20.0
20,3,Plant_C,271,0.0,,6.899993896484375,29.89999389648437
21,3,Plant_C,304,0.0,,4.800018310546875,33.399993896484375
22,3,Plant_C,313,0.0,,7.3000183105468786,25.39999389648437
23,3,Plant_C,314,0.0,,7.29998779296875,24.800018310546875
24,3,Plant_C,340,0.0,,4.79998779296875,21.70001220703125
25,3,Plant_C,351,0.0,,4.800018310546882,56.0
26,4,Plant_G,75,0.0,,35.0,57.5
27,4,Plant_H,48,0.0,,49.20001220703125,26.5
28,4,Plant_H,55,0.0,,46.4000244140625,39.899993896484375
29,4,Plant_B,71,0.0,,9.5,40.30001831054688
30,4,Plant_B,72,0.0,,9.70001220703125,39.100006103515625
31,4,Plant_B,102,0.0,,7.300018310546875,32.399993896484375
32,4,Plant_B,103,0.0,,8.100006103515625,32.899993896484375
33,4,Plant_B,104,0.0,,6.400024414062507,34.899993896484375
34,4,Plant_B,122,0.0,,7.100006103515625,35.5
35,5,Plant_I,35,0.0,,2.300018310546875,37.399993896484375
36,5,Plant_J,30,0.0,,50.100006103515625,37.100006103515625
37,5,Plant_J,31,0.0,,1.100006103515625,38.0
38,5,Plant_K,51,0.0,,5.300018310546882,38.5
39,5,Plant_H,52,0.0,,0.5,54.70001220703125
40,5,Plant_H,57,0.0,,48.9000244140625,41.100006103515625
41,5,Plant_H,62,0.0,,2.5,41.20001220703125
42,5,Plant_L,76,0.0,,41.9000244140625,28.100006103515625
43,5,Plant_A,20,0.0,,33.9000244140625,40.399993896484375
44,5,Plant_A,197,0.0,,12.29998779296875,17.20001220703125
45,5,Plant_M,8,0.0,,45.5,31.89999389648437
46,5,Plant_B,102,0.0,,6.900024414062507,32.399993896484375
47,5,Plant_B,103,0.0,,7.79998779296875,32.70001220703125
48,5,Plant_B,104,0.0,,6.399993896484375,34.70001220703125
49,5,Plant_F,85,0.0,,58.600006103515625,35.20001220703125
50,5,Plant_C,222,0.0,,34.20001220703126,16.600006103515625
51,6,Plant_H,43,0.0,,2.399993896484375,32.70001220703125
52,6,Plant_A,198,0.0,,19.80001831054688,17.5
53,6,Plant_E,30,0.0,,34.5,38.399993896484375
54,6,Plant_E,34,0.0,,32.0,41.100006103515625
55,6,Plant_E,39,0.0,,0.29998779296875,34.899993896484375
56,6,Plant_D,95,0.0,,44.399993896484375,37.899993896484375
57,6,Plant_B,102,0.0,,7.300018310546875,32.399993896484375
58,6,Plant_B,103,0.0,,7.399993896484375,32.800018310546875
59,6,Plant_B,104,0.0,,6.5,34.70001220703125
60,6,Plant_F,77,0.0,,53.899993896484375,60.600006103515625
61,6,Plant_C,68,0.0,,9.300018310546882,37.5
62,6,Plant_C,69,0.0,,33.79998779296875,30.100006103515625
63,6,Plant_C,70,0.0,,31.89999389648437,26.100006103515625
64,6,Plant_C,123,0.0,,32.29998779296875,24.300018310546875
65,7,Plant_E,25,0.0,,24.200012207031257,35.100006103515625
66,7,Plant_D,35,0.0,,43.600006103515625,38.5
67,7,Plant_D,70,0.0,,36.699981689453125,36.399993896484375
68,7,Plant_B,102,0.0,,7.5,31.70001220703125
69,7,Plant_B,103,0.0,,9.000000000000007,32.300018310546875
70,7,Plant_B,104,0.0,,7.0,34.20001220703125
71,7,Plant_C,90,0.0,,41.29998779296875,18.800018310546875
72,7,Plant_C,113,0.0,,36.30001831054688,53.399993896484375
73,7,Plant_C,115,0.0,,40.80001831054688,60.0
74,7,Plant_C,116,0.0,,40.70001220703125,48.899993896484375
75,8,Plant_D,20,0.0,,36.79998779296874,36.30001831054688
76,8,Plant_B,102,0.0,,6.600006103515632,32.20001220703125
77,8,Plant_B,103,0.0,,7.5,32.70001220703125
78,8,Plant_B,104,0.0,,6.200012207031257,34.600006103515625
79,8,Plant_C,124,0.0,,36.0,21.0
80,8,Plant_C,128,0.0,,31.5,29.0
81,8,Plant_C,177,0.0,,40.70001220703125,67.89999389648438
82,8,Plant_C,302,0.0,,17.100006103515625,36.0
